A3.01_T_Lymphocyte_Blood | H3K4me3 | ID:48989
A3.01_T_Lymphocyte_Blood | H3K9ac | ID:48985
ACH2_HIV-1_latency_T_cell | H3K4me3 | ID:48990
ACH2_HIV-1_latency_T_cell | H3K9ac | ID:48986
Activated_Treg | H3K27ac | ID:57149
Activated_Treg | H3K27ac | ID:57150
Activated_Treg | H3K27ac | ID:57151
Activated_Treg | H3K27ac | ID:57152
Activated_Treg | H3K27ac | ID:57153
Activated_Treg | H3K27ac | ID:57154
Activated_Treg | H3K27ac | ID:57158
Adult_CD4_Th0 | DNase | ENCODE
Akata_B_Lymphocyte | BRD4 | ID:86429
Akata_B_Lymphocyte | ZTA | ID:52241
Akata_B_Lymphocyte | ZTA | ID:52242
ALL-SIL_T_Lymphocyte_Blood | H3K27ac | ID:55768
ALL-SIL_T_Lymphocyte_Blood | TLX1 | ID:54657
aTconv_T_Lymphocyte_Blood | H3K4me1 | ID:268
aTconv_T_Lymphocyte_Blood | H3K4me3 | ID:269
BCBL1_B_cell_lymphoma | CTCF | ID:40379
BCBL1_B_cell_lymphoma | CTCF | ID:9316
BCBL1_B_cell_lymphoma | H3K4me3 | ID:47723
BCBL1_B_cell_lymphoma | H3K4me3 | ID:47724
BCBL1_B_cell_lymphoma | LANA | ID:47736
BCBL1_B_cell_lymphoma | POLR2A | ID:47726
BCBL1_B_cell_lymphoma | SMC1A | ID:9317
B_cell_lymphoma_Peritoneal_Effusion | ZIC2 | ID:87938
B_cell_precursor | ATAC-seq | ID:65730
B_cell_precursor | ATAC-seq | ID:65731
B_cell_precursor | H3K27ac | ID:66822
B_cell_precursor | H3K27ac | ID:66823
B_cell_precursor | H3K27ac | ID:66824
B_cell_precursor | H3K27ac | ID:66825
B_cell_precursor | H3K4me3 | ID:73230
B_cell_precursor | H3K4me3 | ID:73231
B_cell_precursor | H3K4me3 | ID:73232
B_cell_precursor | H3K4me3 | ID:73233
B_cell_precursor | IKZF1 | ID:73234
B_cell_precursor | IKZF1 | ID:73235
B_cell_precursor | IKZF1 | ID:73236
B_cell_precursor | IKZF1 | ID:73237
B_cell_precursor | IKZF1 | ID:73238
B_cell_precursor | IKZF1 | ID:73239
BJAB_B_cell_lymphoma | CTCF | ID:5828
BJAB_B_Lymphocyte | POLR2A | ID:72436
BJAB_B_Lymphocyte | SUPT5H | ID:70927
BJAB_B_Lymphocyte | TRIM28 | ID:70926
BL-41_B_Lymphocyte_Blood | CTCF | ID:5830
BL-41_B_Lymphocyte_Blood | MYC | ID:5968
Blast_Cells_Blood | H3K27ac | ID:66897
Blast_Cells_Blood | H3K27ac | ID:66898
Blast_Cells_Blood | H3K27ac | ID:66899
Blast_Cells_Blood | H3K27me3 | ID:75049
Blast_Cells_Blood | H3K27me3 | ID:75051
Blast_Cells_Blood | H3K27me3 | ID:75054
Blast_Cells_Blood | H3K4me2 | ID:75047
Blast_Cells_Blood | H3K4me2 | ID:75052
Blast_Cells_Blood | H3K9me2 | ID:75061
Blast_Cells_Blood | H3K9me2 | ID:75062
Blast_Cells_Blood | H3K9me2 | ID:75063
Blast_Cells_Blood | H3K9me2 | ID:75064
Blast_Cells_Blood | H3K9me2 | ID:75065
Blast_Cells_Blood | H3K9me2 | ID:75067
Blast_Cells_Blood | H3K9me2 | ID:75068
Blast_Cells_Blood | H3K9me2 | ID:75071
Blast_Cells_Blood | H3K9me2 | ID:75073
Blast_Cells_Blood | H3K9me2 | ID:75076
Blast_Cells_Blood | H3K9me3 | ID:75048
Blast_Cells_Blood | H3K9me3 | ID:75050
Blast_Cells_Blood | H3K9me3 | ID:75053
Blast_Cells_Blood | H3K9me3 | ID:75072
B_Lymphocyte | ATAC-seq | ID:79852
B_Lymphocyte | ATAC-seq | ID:80912
B_Lymphocyte | ATAC-seq | ID:80913
B_Lymphocyte | ATAC-seq | ID:80914
B_Lymphocyte | ATAC-seq | ID:80917
B_Lymphocyte | BACH2 | ID:55549
B_Lymphocyte | BACH2 | ID:55571
B_Lymphocyte | BACH2 | ID:82378
B_Lymphocyte | BCL6 | ID:35085
B_Lymphocyte | BCOR | ID:35087
B_Lymphocyte_Blood | ATAC-seq | ID:61824
B_Lymphocyte_Blood | ATAC-seq | ID:61825
B_Lymphocyte_Blood | ATAC-seq | ID:61826
B_Lymphocyte_Blood | ATAC-seq | ID:61827
B_Lymphocyte_Blood | ATAC-seq | ID:61828
B_Lymphocyte_Blood | ATAC-seq | ID:61829
B_Lymphocyte_Blood | ATAC-seq | ID:61830
B_Lymphocyte_Blood | ATAC-seq | ID:61831
B_Lymphocyte_Blood | BRD4 | ID:40022
B_Lymphocyte_Blood | BRD4 | ID:40056
B_Lymphocyte_Blood | CDK7 | ID:40053
B_Lymphocyte_Blood | CDK7 | ID:40055
B_Lymphocyte_Blood | CDK9 | ID:40226
B_Lymphocyte_Blood | CDK9 | ID:40227
B_Lymphocyte_Blood | CTCF | ID:45178
B_Lymphocyte_Blood | DNase | ID:3131
B_Lymphocyte_Blood | DNase | ID:40937
B_Lymphocyte_Blood | DNase | ID:44906
B_Lymphocyte_Blood | DNase | ID:44907
B_Lymphocyte_Blood | EZH2 | ID:45184
B_Lymphocyte_Blood | H2A | ID:33435
B_Lymphocyte_Blood | H2AZ | ID:45179
B_Lymphocyte_Blood | H2AZ | ID:47097
B_Lymphocyte_Blood | H2AZ | ID:47098
B_Lymphocyte_Blood | H2AZ | ID:49998
B_Lymphocyte_Blood | H3ac | ID:51716
B_Lymphocyte_Blood | H3ac | ID:51719
B_Lymphocyte_Blood | H3K27ac | ID:37697
B_Lymphocyte_Blood | H3K27ac | ID:44036
B_Lymphocyte_Blood | H3K27ac | ID:44037
B_Lymphocyte_Blood | H3K27ac | ID:45182
B_Lymphocyte_Blood | H3K27ac | ID:51724
B_Lymphocyte_Blood | H3K27ac | ID:51726
B_Lymphocyte_Blood | H3K4me1 | ID:33438
B_Lymphocyte_Blood | H3K4me1 | ID:44034
B_Lymphocyte_Blood | H3K4me1 | ID:44035
B_Lymphocyte_Blood | H3K4me2 | ID:45180
B_Lymphocyte_Blood | H3K4me3 | ID:33432
B_Lymphocyte_Blood | H3K4me3 | ID:45181
B_Lymphocyte_Blood | H3K4me3 | ID:45183
B_Lymphocyte_Blood | H3K4me3 | ID:50000
B_Lymphocyte_Blood | IRF4 | ID:40215
B_Lymphocyte_Blood | MED1 | ID:40216
B_Lymphocyte_Blood | MED1 | ID:40233
B_Lymphocyte_Blood | MED1 | ID:40234
B_Lymphocyte_Blood | MYC | ID:5967
B_Lymphocyte_Blood | POLR2A | ID:33439
B_Lymphocyte_Blood | SMARCA4 | ID:33434
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43126
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43128
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43130
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43132
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43134
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43136
B_Lymphocyte | CD74 | ID:76925
B_Lymphocyte | CD74 | ID:76926
B_Lymphocyte | CD74 | ID:76927
B_Lymphocyte | CD74 | ID:76928
B_Lymphocyte | CD74 | ID:76930
B_Lymphocyte | CD74 | ID:76931
B_Lymphocyte_Cord_blood | H3K4me1 | ID:37990
B_Lymphocyte_Cord_blood | H3K4me3 | ID:3911
B_Lymphocyte_Cord_blood | H3K4me3 | ID:3913
B_Lymphocyte_Cord_blood | H3K9me3 | ID:4079
B_Lymphocyte | DNase | ID:40978
B_Lymphocyte | EBNA3C | ID:43363
B_Lymphocyte | EBNA3C | ID:43364
B_Lymphocyte | EP300 | ID:55572
B_Lymphocyte | FOXP1 | ID:59437
B_Lymphocyte | FOXP1 | ID:59439
B_Lymphocyte | FOXP1 | ID:59447
B_Lymphocyte | H3K27ac | ID:55551
B_Lymphocyte | H3K27ac | ID:55558
B_Lymphocyte | H3K27ac | ID:55560
B_Lymphocyte | H3K27ac | ID:55562
B_Lymphocyte | H3K27ac | ID:55569
B_Lymphocyte | H3K27ac | ID:55573
B_Lymphocyte | H3K27ac | ID:55580
B_Lymphocyte | H3K27ac | ID:55582
B_Lymphocyte | H3K27ac | ID:66709
B_Lymphocyte | H3K27ac | ID:66710
B_Lymphocyte | H3K27me3 | ID:35645
B_Lymphocyte | H3K4me2 | ID:72772
B_Lymphocyte | H3K4me2 | ID:72774
B_Lymphocyte | H3K4me2 | ID:72776
B_Lymphocyte | H3K4me2 | ID:72778
B_Lymphocyte | H3K4me3 | ID:35631
B_Lymphocyte | H3K4me3 | ID:35632
B_Lymphocyte | H3K4me3 | ID:35649
B_Lymphocyte | H3K4me3 | ID:35651
B_Lymphocyte | H3K4me3 | ID:72771
B_Lymphocyte | H3K4me3 | ID:72773
B_Lymphocyte | H3K4me3 | ID:72775
B_Lymphocyte | H3K4me3 | ID:72777
B_Lymphocyte | H3K4me3 | ID:9491
B_Lymphocyte | H3K4me3 | ID:9492
B_Lymphocyte_Lymph_Node | DNase | ID:5120
B_Lymphocyte_Lymph_Node | H3ac | ID:51656
B_Lymphocyte_Lymph_Node | H3ac | ID:51659
B_Lymphocyte_Lymph_Node | H3ac | ID:51662
B_Lymphocyte_Lymph_Node | H3ac | ID:51664
B_Lymphocyte_Lymph_Node | H3ac | ID:51666
B_Lymphocyte_Lymph_Node | H3ac | ID:51669
B_Lymphocyte_Lymph_Node | H3ac | ID:51672
B_Lymphocyte_Lymph_Node | H3ac | ID:51674
B_Lymphocyte_Lymph_Node | H3ac | ID:51677
B_Lymphocyte_Lymph_Node | H3ac | ID:51680
B_Lymphocyte_Lymph_Node | H3ac | ID:51683
B_Lymphocyte_Lymph_Node | H3ac | ID:51688
B_Lymphocyte_Lymph_Node | H3K27ac | ID:51660
B_Lymphocyte_Lymph_Node | H3K27ac | ID:51675
B_Lymphocyte_Lymph_Node | H3K27ac | ID:51681
B_Lymphocyte | MEF2B | ID:55547
B_Lymphocyte | MEF2B | ID:55548
B_Lymphocyte | MEF2B | ID:55563
B_Lymphocyte | MEF2B | ID:55584
B_Lymphocyte | MEF2B | ID:55585
B_Lymphocyte | NCOR2 | ID:35093
B_Lymphocyte | PAX5 | ID:55554
B_Lymphocyte | PAX5 | ID:55576
B_Lymphocyte | SPI1 | ID:55555
B_Lymphocyte | SPI1 | ID:55577
B_Lymphocyte_Spleen | DNase | ID:3124
B_Lymphocyte_Spleen | DNase | ID:3138
B_Lymphocyte_Spleen | DNase | ID:3139
B_Lymphocyte_Spleen | DNase | ID:42140
B_Lymphocyte_Spleen | H3K27me3 | ID:37694
B_Lymphocyte_Spleen | H3K27me3 | ID:39192
B_Lymphocyte_Spleen | H3K4me1 | ID:37695
B_Lymphocyte_Spleen | H3K4me3 | ID:37699
B_Lymphocyte_Spleen | H3K9me3 | ID:38130
B_Lymphocyte_Spleen | H3K9me3 | ID:39191
B_Lymphocyte_Tonsil | BCL6 | ID:58302
B_Lymphocyte_Tonsil | BCL6 | ID:58303
B_Lymphocyte_Tonsil | CREBBP | ID:73720
B_Lymphocyte_Tonsil | CREBBP | ID:73721
B_Lymphocyte_Tonsil | FOXO1 | ID:58300
B_Lymphocyte_Tonsil | FOXO1 | ID:58301
B_Lymphocyte_Tonsil | H3ac | ID:51690
B_Lymphocyte_Tonsil | H3ac | ID:51703
B_Lymphocyte_Tonsil | H3ac | ID:51706
B_Lymphocyte_Tonsil | H3 | ID:50511
B_Lymphocyte_Tonsil | H3 | ID:50512
B_Lymphocyte_Tonsil | H3K27ac | ID:51697
B_Lymphocyte_Tonsil | H3K27ac | ID:51701
B_Lymphocyte_Tonsil | H3K27ac | ID:51710
B_Lymphocyte_Tonsil | H3K27ac | ID:51714
B_Lymphocyte_Tonsil | H3K27ac | ID:66654
B_Lymphocyte_Tonsil | H3K27ac | ID:66655
B_Lymphocyte_Tonsil | H3K4me1 | ID:56476
B_Lymphocyte_Tonsil | H3K4me1 | ID:56479
B_Lymphocyte_Tonsil | H3K4me3 | ID:56477
B_Lymphocyte_Tonsil | H3K4me3 | ID:56480
B_Lymphocyte_Tonsil | KMT2D | ID:56478
B_Lymphocyte_Tonsil | KMT2D | ID:56481
CA46_B_Lymphocyte | MYC | ID:5966
CAL-1_Dendritic_Cell | TCF4 | ID:47101
CAL-1_Plasmacytoid_dendritic_cell | ATAC-seq | ID:65310
CAL-1_Plasmacytoid_dendritic_cell | BRD4 | ID:72351
CAL-1_Plasmacytoid_dendritic_cell | POLR2A | ID:72348
CAL-1_Plasmacytoid_dendritic_cell | POLR2A | ID:72350
CAL-1_Plasmacytoid_dendritic_cell | TCF4 | ID:72367
CCRF-CEM_T_Lymphocyte_Blood | GATA3 | ID:35477
CCRF-CEM_T_Lymphocyte_Blood | H3K27ac | ID:62252
CCRF-CEM_T_Lymphocyte_Blood | LMO2 | ID:35484
CCRF-CEM_T_Lymphocyte_Blood | LMO2 | ID:35486
CCRF-CEM_T_Lymphocyte_Blood | RUNX1 | ID:35483
CCRF-CEM_T_Lymphocyte_Blood | TAL1 | ID:35476
CCRF-CEM_T_Lymphocyte_Blood | TAL1 | ID:35489
CCRF-CEM_T_Lymphocyte_Blood | TCF12 | ID:35478
CCRF-CEM_T_Lymphocyte_Blood | TCF12 | ID:35481
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K27ac | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K27me3 | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K36me3 | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K4me1 | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K4me3 | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K9me3 | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K27ac | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K27me3 | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K36me3 | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K4me1 | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K4me3 | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K9me3 | Roadmap
