Feature	Importance
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K36me3 | Roadmap	0.010996
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K27ac | Roadmap	0.010623
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K27ac | Roadmap	0.010507
CD4+_CD25_Th_Primary_Cells | H3K27ac | Roadmap	0.009248
Th1 | DNase | ENCODE	0.008506
Monocytes-CD14+_RO01746 | H3K79me2 | Roadmap	0.008492
Monocytes-CD14+_RO01746 | H3K27ac | Roadmap	0.008320
Raji_B_Lymphocyte_Blood | POLR2A | ID:70958	0.008029
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K36me3 | Roadmap	0.007911
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K4me1 | Roadmap	0.007817
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | POLR2A | ID:35532	0.007516
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K27ac | Roadmap	0.007455
CD8_Memory_Primary_Cells | H3K4me1 | Roadmap	0.007256
CD4_Memory_Primary_Cells | H3K27ac | Roadmap	0.006965
Monocytes-CD14+_RO01746 | H4K20me1 | Roadmap	0.006936
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K27ac | Roadmap	0.006618
Adult_CD4_Th0 | DNase | ENCODE	0.006366
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K4me1 | Roadmap	0.005882
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69293	0.005639
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K36me3 | Roadmap	0.005579
Raji_B_Lymphocyte_Blood | POLR2A | ID:70949	0.005511
Monocytes-CD14+_RO01746 | H3K9ac | Roadmap	0.005345
Thymus | H3K27ac | Roadmap	0.005249
Monocyte_Blood | H3K79me2 | ID:45436	0.005245
CD8_Naive_Primary_Cells | H3K4me1 | Roadmap	0.005239
CD8_Naive_Primary_Cells | H3K27ac | Roadmap	0.005206
Thymus | H3K36me3 | Roadmap	0.005192
CD4_Memory_Primary_Cells | H3K36me3 | Roadmap	0.005086
Fetal_Thymus | H3K36me3 | Roadmap	0.005014
CD4+_CD25_Th_Primary_Cells | H3K4me1 | Roadmap	0.004933
T_Lymphocyte_Blood | H3K9ac | ID:3964	0.004295
CD4_Memory_Primary_Cells | H3K4me1 | Roadmap	0.004237
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45659	0.004200
T_Lymphocyte_Blood | H3K36me3 | ID:36456	0.004177
T_Lymphocyte_Blood | H3K36me3 | ID:36424	0.004081
CD4_Naive_Primary_Cells | H3K4me1 | Roadmap	0.003977
T_Lymphocyte_Blood | H3K27ac | ID:42124	0.003817
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K4me1 | Roadmap	0.003756
Monocyte_Blood | H3K36me3 | ID:36165	0.003738
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69295	0.003484
T_Lymphocyte_Blood | H3K4me1 | ID:44115	0.003461
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K27ac | Roadmap	0.003455
Monocyte_Blood | H3K36me3 | ID:39852	0.003399
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42284	0.003359
CD4+_CD25_CD45RO+_Memory_Primary_Cells | H3K27ac | Roadmap	0.003355
