CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K36me3 | Roadmap
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K27ac | Roadmap
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K27ac | Roadmap
CD4+_CD25_Th_Primary_Cells | H3K27ac | Roadmap
Th1 | DNase | ENCODE
Monocytes-CD14+_RO01746 | H3K79me2 | Roadmap
Monocytes-CD14+_RO01746 | H3K27ac | Roadmap
Raji_B_Lymphocyte_Blood | POLR2A | ID:70958
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K36me3 | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K4me1 | Roadmap
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | POLR2A | ID:35532
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K27ac | Roadmap
CD8_Memory_Primary_Cells | H3K4me1 | Roadmap
CD4_Memory_Primary_Cells | H3K27ac | Roadmap
Monocytes-CD14+_RO01746 | H4K20me1 | Roadmap
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K27ac | Roadmap
Adult_CD4_Th0 | DNase | ENCODE
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K4me1 | Roadmap
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69293
CD4+_CD25+_CD127_Treg_Primary_Cells | H3K36me3 | Roadmap
Raji_B_Lymphocyte_Blood | POLR2A | ID:70949
Monocytes-CD14+_RO01746 | H3K9ac | Roadmap
Thymus | H3K27ac | Roadmap
Monocyte_Blood | H3K79me2 | ID:45436
CD8_Naive_Primary_Cells | H3K4me1 | Roadmap
CD8_Naive_Primary_Cells | H3K27ac | Roadmap
Thymus | H3K36me3 | Roadmap
CD4_Memory_Primary_Cells | H3K36me3 | Roadmap
Fetal_Thymus | H3K36me3 | Roadmap
CD4+_CD25_Th_Primary_Cells | H3K4me1 | Roadmap
T_Lymphocyte_Blood | H3K9ac | ID:3964
CD4_Memory_Primary_Cells | H3K4me1 | Roadmap
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45659
T_Lymphocyte_Blood | H3K36me3 | ID:36456
T_Lymphocyte_Blood | H3K36me3 | ID:36424
CD4_Naive_Primary_Cells | H3K4me1 | Roadmap
T_Lymphocyte_Blood | H3K27ac | ID:42124
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K4me1 | Roadmap
Monocyte_Blood | H3K36me3 | ID:36165
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69295
T_Lymphocyte_Blood | H3K4me1 | ID:44115
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K27ac | Roadmap
Monocyte_Blood | H3K36me3 | ID:39852
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42284
CD4+_CD25_CD45RO+_Memory_Primary_Cells | H3K27ac | Roadmap
CD8_Memory_Primary_Cells | H3K36me3 | Roadmap
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42285
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K9me3 | Roadmap
T_Lymphocyte_Blood | H3K4me1 | ID:44116
T_Lymphocyte_Blood | H3K36me3 | ID:36156
CD4_Memory_Primary_Cells | H3K9me3 | Roadmap
T_Lymphocyte_Blood | H3K4me1 | ID:44107
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K36me3 | Roadmap
Monocytes-CD14+_RO01746 | H3K36me3 | Roadmap
T_Lymphocyte_Blood | H3K27ac | ID:36142
T_Lymphocyte_Blood | H3K4me3 | ID:58747
CD4_Naive_Primary_Cells | H3K9me3 | Roadmap
OCI-Ly7_B_cell_lymphoma_Blood | H3K79me2 | ID:63352
CD4+_CD25_IL17_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells | H3K9me3 | Roadmap
CD4+_CD25_CD45RO+_Memory_Primary_Cells | H3K4me1 | Roadmap
T_Lymphocyte_Blood | H3K4me1 | ID:42131
T_Lymphocyte_Blood | H3K27ac | ID:44111
Thymus | H3K4me1 | Roadmap
